"Record_number","Study_midyear","YearsOfData","Latitude","Longitude","Site_name","Study_number","Elevation","Biome","Ecosystem_state","Ecosystem_type","Leaf_habit","MAT","MAP","Meas_method","Partition_method","Stage","Rs_annual","Rh_annual","Ra_annual","Manipulation","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","Ecosystem_type2","Outlier_rh","Outlier_ra","Mean.Temp.","Mean.Precip.","delta.Mean.Temp.","delta.Mean.Precip."
72,1997,1,48.67,7.08,"Hesse Forest",1438,305,"Temperate","Unmanaged","Forest","Deciduous",9.2,820,"IRGA","Exclusion","Aggrading",660,264,396,"None",0.85,NA,NA,NA,NA,"Forest",0,0,3.33090909090909,991.916666666667,-1.96870361574371,-1.62467364280167
73,1997,1,48.67,7.08,"Hesse Forest",1777,305,"Temperate","Unmanaged","Forest","Deciduous",9.2,820,"IRGA","Exclusion","Aggrading",660,317,343,"None",0.85,NA,NA,NA,NA,"Forest",0,0,3.33090909090909,991.916666666667,-1.96870361574371,-1.62467364280167
79,1997,1,35.08,-85.5,"Coweeta",2877,768,"Temperate","Natural","Forest","Deciduous",12.9,1796,"IRGA","","Mature",1250,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.83166666666667,1599.58333333333,-0.467946039986131,606.041993023865
80,1997,1,35.08,-85.5,"Coweeta",2877,768,"Temperate","Natural","Forest","Deciduous",12.9,1796,"IRGA","","Mature",1240,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.83166666666667,1599.58333333333,-0.467946039986131,606.041993023865
81,1997,1,35.08,-85.5,"Coweeta",2877,768,"Temperate","Natural","Forest","Deciduous",12.9,1796,"IRGA","","Mature",1220,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.83166666666667,1599.58333333333,-0.467946039986131,606.041993023865
82,1997,1,35.08,-85.5,"Coweeta",2877,768,"Temperate","Natural","Forest","Deciduous",12.9,1796,"IRGA","","Mature",1320,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.83166666666667,1599.58333333333,-0.467946039986131,606.041993023865
83,1997,1,35.08,-85.5,"Coweeta",2877,768,"Temperate","Managed","Grassland","Deciduous",12.9,1796,"IRGA","","Mature",1000,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.83166666666667,1599.58333333333,-0.467946039986131,606.041993023865
84,1997,1,35.08,-85.5,"Coweeta",2877,768,"Temperate","Managed","Grassland","Deciduous",12.9,1796,"IRGA","","Mature",1170,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.83166666666667,1599.58333333333,-0.467946039986131,606.041993023865
85,1997,1,35.08,-85.5,"Coweeta",2877,768,"Temperate","Managed","Grassland","Deciduous",12.9,1796,"IRGA","","Mature",1030,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.83166666666667,1599.58333333333,-0.467946039986131,606.041993023865
86,1997,1,35.08,-85.5,"Coweeta",2877,768,"Temperate","Managed","Grassland","Deciduous",12.9,1796,"IRGA","","Mature",1180,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.83166666666667,1599.58333333333,-0.467946039986131,606.041993023865
87,2000.5,1,31.35,35.05,"Yatir",2293,NA,"Mediterranean","Managed","Forest","Evergreen",22,270,"IRGA","","Mature",192,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,6.09583333333333,150,0.796220626680535,-843.541340309468
133,2004,1,45.59,-84.72,"University of Michigan Biological Station",3845,NA,"Temperate","Natural","Forest","Deciduous",5.5,817,"IRGA","Extraction","Aggrading",675,290,385,"None",NA,NA,92,7,1,"Forest",0,0,3.37,680,-1.9296127066528,-313.541340309468
134,2004,1,45.59,-84.72,"University of Michigan Biological Station",3845,NA,"Temperate","Natural","Forest","Deciduous",5.5,817,"IRGA","Extraction","Aggrading",782,422,360,"None",NA,NA,92,7,1,"Forest",0,0,3.37,680,-1.9296127066528,-313.541340309468
135,2004,1,45.59,-84.72,"University of Michigan Biological Station",3845,NA,"Temperate","Natural","Forest","Deciduous",5.5,817,"IRGA","Extraction","Aggrading",782,368,414,"None",NA,NA,92,7,1,"Forest",0,0,3.37,680,-1.9296127066528,-313.541340309468
136,2004,1,45.59,-84.72,"University of Michigan Biological Station",3845,NA,"Temperate","Natural","Forest","Deciduous",5.5,817,"IRGA","Extraction","Mature",1090,643,447,"None",NA,NA,92,7,1,"Forest",0,0,3.37,680,-1.9296127066528,-313.541340309468
137,2004,1,45.59,-84.72,"University of Michigan Biological Station",3845,NA,"Temperate","Natural","Forest","Deciduous",5.5,817,"IRGA","Extraction","Mature",930,474,456,"None",NA,NA,92,7,1,"Forest",0,0,3.37,680,-1.9296127066528,-313.541340309468
148,2005.5,1,47.58,11.64,"Northern Limestone Alps",4072,910,"Temperate","Natural","Forest","Evergreen",6.8,1563,"IRGA","Exclusion","Mature",525,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,3.40272727272727,1255.83333333333,-1.89688543392553,262.291993023865
473,1996,1,46.58,-112.03,"Coble-south",1762,1394,"Temperate","Managed","Forest","Evergreen",6.7,295,"IRGA","","Aggrading",240,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.832,206.666666666667,-2.4676127066528,-786.874673642802
474,1996,1,46.58,-112.03,"Coble-south",1762,1394,"Temperate","Managed","Forest","Evergreen",6.7,295,"IRGA","","Aggrading",340,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.832,206.666666666667,-2.4676127066528,-786.874673642802
475,1996,1,46.58,-112.03,"Coble-north",1762,1394,"Temperate","Managed","Forest","Evergreen",6.7,295,"IRGA","","Aggrading",530,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.832,206.666666666667,-2.4676127066528,-786.874673642802
476,1996,1,46.58,-112.03,"Coble-north",1762,1394,"Temperate","Managed","Forest","Evergreen",6.7,295,"IRGA","","Aggrading",560,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.832,206.666666666667,-2.4676127066528,-786.874673642802
523,2000.5,1.5,55.17,-2.05,"Harwood Forest",3211,300,"Temperate","Managed","Forest","Evergreen",NA,NA,"Gas chromatography","","Aggrading",230,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,12.8022222222222,718.333333333333,7.50260951556942,-275.208006976135
524,2000.5,1.5,55.17,-2.05,"Harwood Forest",3211,300,"Temperate","Managed","Forest","Evergreen",NA,NA,"Gas chromatography","","Aggrading",220,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,12.8022222222222,718.333333333333,7.50260951556942,-275.208006976135
525,2000.5,1.5,55.17,-2.05,"Harwood Forest",3211,300,"Temperate","Managed","Forest","Evergreen",NA,NA,"Gas chromatography","","Aggrading",540,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,12.8022222222222,718.333333333333,7.50260951556942,-275.208006976135
526,2000.5,1.5,55.17,-2.05,"Harwood Forest",3211,300,"Temperate","Managed","Forest","Evergreen",NA,NA,"Gas chromatography","","Mature",500,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,12.8022222222222,718.333333333333,7.50260951556942,-275.208006976135
527,2000.5,1.5,55.17,-2.05,"Harwood Forest",3211,300,"Temperate","Natural","Grassland","Deciduous",NA,NA,"Gas chromatography","","Mature",1420,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,12.8022222222222,718.333333333333,7.50260951556942,-275.208006976135
587,1999.5,1,-9.87,-67.07,"PZ-Pasture 13",2756,NA,"Tropical","Managed","Grassland","Evergreen",26,1940,"IRGA","","Aggrading",1840,NA,NA,"None",1.2,NA,NA,NA,NA,"Grassland",0,0,7.99333333333333,2807.75,2.69372062668053,1814.20865969053
588,1999.5,1,-9.88,-67.07,"PZ-Secfor 11",2756,NA,"Tropical","Natural","Forest","Evergreen",26,1940,"IRGA","","Aggrading",1830,NA,NA,"None",1.3,NA,NA,NA,NA,"Forest",0,0,7.99333333333333,2807.75,2.69372062668053,1814.20865969053
589,1999.5,1,-9.88,-67.07,"Peixoto 1-Secfor 3a",2756,NA,"Tropical","Natural","Forest","Evergreen",26,1940,"IRGA","","Aggrading",1540,NA,NA,"None",1.2,NA,NA,NA,NA,"Forest",0,0,7.99333333333333,2807.75,2.69372062668053,1814.20865969053
590,1999.5,1,-9.88,-67.07,"Peixoto 1-Secfor 3b",2756,NA,"Tropical","Natural","Forest","Evergreen",26,1940,"IRGA","","Aggrading",1350,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,7.99333333333333,2807.75,2.69372062668053,1814.20865969053
591,1999.5,1,-9.88,-67.08,"Peixoto 1-Matfor",2756,NA,"Tropical","Natural","Forest","Evergreen",26,1940,"IRGA","","Mature",1490,NA,NA,"None",1.25,NA,NA,NA,NA,"Forest",0,0,7.99333333333333,2807.75,2.69372062668053,1814.20865969053
608,1996.5,2,41.87,13.63,"Italy1",1800,1550,"Temperate","Natural","Forest","Deciduous",7,1100,"IRGA","","Mature",625,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,5.17636363636364,360,-0.123249070289162,-633.541340309468
609,1996.5,2,44.08,0.08,"France2",1800,60,"Temperate","Natural","Forest","Evergreen",13.5,900,"IRGA","","Aggrading",1675,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.75818181818182,698.5,-0.54143088847098,-295.041340309468
623,2002,1,43.03,-89.43,"UW Arboretum-remnant",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1181,NA,NA,"None",0.89,15,34,49,14,"Grassland",0,0,3.47545454545455,895,-1.82415816119825,-98.5413403094683
624,2002,1,43.03,-89.43,"UW Arboretum-restoration",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1331,NA,NA,"None",1.18,11.7,33,58,9,"Grassland",0,0,3.47545454545455,895,-1.82415816119825,-98.5413403094683
625,2003,1,43.03,-89.43,"UW Arboretum-remnant",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1174,NA,NA,"None",0.89,15,34,49,14,"Grassland",0,0,2.93181818181818,680,-2.36779452483462,-313.541340309468
626,2003,1,43.03,-89.43,"UW Arboretum-restoration",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1387,NA,NA,"None",1.18,11.7,33,58,9,"Grassland",0,0,2.93181818181818,680,-2.36779452483462,-313.541340309468
627,2004,1,43.03,-89.43,"UW Arboretum-remnant",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1386,NA,NA,"None",0.89,15,34,49,14,"Grassland",0,0,2.70272727272727,680,-2.59688543392553,-313.541340309468
628,2004,1,43.03,-89.43,"UW Arboretum-restoration",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1510,NA,NA,"None",1.18,11.7,33,58,9,"Grassland",0,0,2.70272727272727,680,-2.59688543392553,-313.541340309468
674,1999,1,45.55,-84.85,"Burton-B",2541,NA,"Temperate","Natural","Forest","Deciduous",6.1,828,"IRGA","","Mature",1071,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,2.72,652.916666666667,-2.5796127066528,-340.624673642802
676,1999,1,43.67,-86.15,"Burton-D",2541,NA,"Temperate","Natural","Forest","Deciduous",7.6,793,"IRGA","","Mature",1071,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,3.028,717.75,-2.2716127066528,-275.791340309468
682,2001,1,45.55,-84.85,"Burton-B",2541,NA,"Temperate","Natural","Forest","Deciduous",6.1,828,"IRGA","","Mature",1071,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.007,741,-1.2926127066528,-252.541340309468
684,2001,1,43.67,-86.15,"Burton-D",2541,NA,"Temperate","Natural","Forest","Deciduous",7.6,793,"IRGA","","Mature",1071,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.007,855.083333333333,-1.2926127066528,-138.458006976135
699,1992,1,41.22,0.92,"Prades",986,975,"Mediterranean","Unmanaged","Forest","Evergreen",12,547,"IRGA","","Aggrading",1069,NA,NA,"None",1.26,NA,NA,NA,NA,"Forest",0,0,5.04909090909091,701.666666666667,-0.250521797561889,-291.874673642802
700,1992,1,41.22,0.92,"Prades",986,700,"Mediterranean","Unmanaged","Forest","Evergreen",12,547,"IRGA","","Aggrading",657,NA,NA,"None",1.32,NA,NA,NA,NA,"Forest",0,0,5.04909090909091,701.666666666667,-0.250521797561889,-291.874673642802
735,1995,1,36.1,-84.1,"Oak Ridge",1297,285,"Temperate","Managed","Forest","Deciduous",13.7,1367,"IRGA","","Aggrading",276,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.61083333333333,1599.58333333333,-0.688779373319464,606.041993023865
739,1995,1,36.1,-84.1,"Oak Ridge",1297,285,"Temperate","Managed","Forest","Deciduous",13.7,1367,"IRGA","","Aggrading",265,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,4.61083333333333,1599.58333333333,-0.688779373319464,606.041993023865
743,1996,1,36.1,-84.1,"Oak Ridge",1297,285,"Temperate","Managed","Forest","Deciduous",13.7,1367,"IRGA","","Aggrading",276,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,3.5525,1599.58333333333,-1.7471127066528,606.041993023865
747,1996,1,36.1,-84.1,"Oak Ridge",1297,285,"Temperate","Managed","Forest","Deciduous",13.7,1367,"IRGA","","Aggrading",284,NA,NA,"None",NA,NA,NA,NA,NA,"Forest",0,0,3.5525,1599.58333333333,-1.7471127066528,606.041993023865
758,1995,1,43.3,-89.35,"Goose Pond Sanctuary",1405,305,"Temperate","Natural","Grassland","Deciduous",7.5,940,"IRGA","","Aggrading",719,NA,NA,"None",1.33,NA,16,59,25,"Grassland",0,0,2.90272727272727,673.75,-2.39688543392553,-319.791340309468
780,2000,2,39.08,-96.58,"Konza Prairie",2382,382,"Temperate","Natural","Grassland","Deciduous",12.5,835,"IRGA","","Mature",1593,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.93454545454545,829.272727272727,-0.365067252107344,-164.268613036741
781,2000,2,39.08,-96.58,"Konza Prairie",2382,382,"Temperate","Natural","Grassland","Deciduous",12.5,835,"IRGA","","Mature",1304,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.93454545454545,829.272727272727,-0.365067252107344,-164.268613036741
864,1995,6,35.95,-84.28,"Walker Branch",1980,305,"Temperate","Natural","Forest","Deciduous",13.8,1352,"IRGA","","Mature",950,NA,NA,"None",NA,NA,34,3,63,"Forest",0,0,5.03833333333333,1599.58333333333,-0.261279373319465,606.041993023865
867,1995.5,1,45.58,-84.7,"University of Michigan Biological Station",1980,NA,"Temperate","Natural","Forest","Deciduous",6.2,750,"IRGA","","Mature",1132,NA,NA,"None",NA,NA,90,6,1,"Forest",0,0,4.299,832.25,-1.0006127066528,-161.291340309468
887,1991,1,39.08,-96.58,"Konza Prairie",815,NA,"Temperate","Natural","Grassland","Deciduous",12.5,835,"Gas chromatography","","Mature",1613,NA,NA,"None",NA,NA,NA,NA,NA,"Grassland",0,0,4.67666666666667,832.25,-0.622946039986132,-161.291340309468
