"Record_number","Study_midyear","YearsOfData","Latitude","Longitude","Site2","Study_number","Elevation","Biome","Ecosystem_state","Ecosystem_type","Leaf_habit","MAT","MAP","Meas_method","Partition_method","Stage","Rs_annual","Site.match","Manipulation","Mean.Temp.","Mean.Precip.","Latitude2","SOC_stock","Ecosystem_type2","Outlier","soil_temperature","nearest_distance_km","soil_temp_years_used","delta.Mean.Temp.","delta.Mean.Precip.","delta.Mean.soil_temperature"
72,1997,1,48.67,7.08,"48.67 7.08",1438,305,"Temperate","Unmanaged","Deciduous Forest","Deciduous",9.2,820,"IRGA","Exclusion","Aggrading",660,"48.67_7.08","None",3.46467532467532,NA,48.67,47.3,"Deciduous Forest",0,9.67956695556643,4.00216191588071,1997,-1.6115863285636,NA,-2.44387654355561
73,1997,1,48.67,7.08,"48.67 7.08",1777,305,"Temperate","Unmanaged","Deciduous Forest","Deciduous",9.2,820,"IRGA","Exclusion","Aggrading",660,"48.67_7.08","None",3.46467532467532,NA,48.67,47.3,"Deciduous Forest",0,9.67956695556643,4.00216191588071,1997,-1.6115863285636,NA,-2.44387654355561
79,1997,1,35.08,-85.5,"35.08 -85.5",2877,768,"Temperate","Natural","Deciduous Forest","Deciduous",12.9,1796,"IRGA","","Mature",1250,"35.08_-85.5","None",4.83166666666667,NA,35.08,73.3,"Deciduous Forest",0,NA,NA,NA,-0.244594986572255,NA,NA
80,1997,1,35.08,-85.5,"35.08 -85.5",2877,768,"Temperate","Natural","Deciduous Forest","Deciduous",12.9,1796,"IRGA","","Mature",1240,"35.08_-85.5","None",4.83166666666667,NA,35.08,73.3,"Deciduous Forest",0,NA,NA,NA,-0.244594986572255,NA,NA
81,1997,1,35.08,-85.5,"35.08 -85.5",2877,768,"Temperate","Natural","Deciduous Forest","Deciduous",12.9,1796,"IRGA","","Mature",1220,"35.08_-85.5","None",4.83166666666667,NA,35.08,73.3,"Deciduous Forest",0,NA,NA,NA,-0.244594986572255,NA,NA
82,1997,1,35.08,-85.5,"35.08 -85.5",2877,768,"Temperate","Natural","Deciduous Forest","Deciduous",12.9,1796,"IRGA","","Mature",1320,"35.08_-85.5","None",4.83166666666667,NA,35.08,73.3,"Deciduous Forest",0,NA,NA,NA,-0.244594986572255,NA,NA
83,1997,1,35.08,-85.5,"35.08 -85.5",2877,768,"Temperate","Managed","Grassland","Deciduous",12.9,1796,"IRGA","","Mature",1000,"35.08_-85.5","None",4.83166666666667,NA,35.08,73.3,"Grassland",0,NA,NA,NA,-0.244594986572255,NA,NA
84,1997,1,35.08,-85.5,"35.08 -85.5",2877,768,"Temperate","Managed","Grassland","Deciduous",12.9,1796,"IRGA","","Mature",1170,"35.08_-85.5","None",4.83166666666667,NA,35.08,73.3,"Grassland",0,NA,NA,NA,-0.244594986572255,NA,NA
85,1997,1,35.08,-85.5,"35.08 -85.5",2877,768,"Temperate","Managed","Grassland","Deciduous",12.9,1796,"IRGA","","Mature",1030,"35.08_-85.5","None",4.83166666666667,NA,35.08,73.3,"Grassland",0,NA,NA,NA,-0.244594986572255,NA,NA
86,1997,1,35.08,-85.5,"35.08 -85.5",2877,768,"Temperate","Managed","Grassland","Deciduous",12.9,1796,"IRGA","","Mature",1180,"35.08_-85.5","None",4.83166666666667,NA,35.08,73.3,"Grassland",0,NA,NA,NA,-0.244594986572255,NA,NA
87,2000.5,1,31.35,35.05,"31.35 35.05",2293,658,"Mediterranean","Managed","Evergreen Forest","Evergreen",22,270,"IRGA","","Mature",192,"31.35_35.05","None",6.09583333333333,150,31.35,20.1,"Evergreen Forest",0,21.9734842936198,7.84888527107319,2000,1.0195716800944,-737.352882514571,9.85004079449777
133,2004,1,45.59,-84.72,"45.59 -84.72",3845,214,"Temperate","Natural","Deciduous Forest","Deciduous",5.5,817,"IRGA","Extraction","Aggrading",675,"45.59_-84.72","None",3.37,680,45.59,NA,"Deciduous Forest",0,NA,NA,NA,-1.70626165323892,-207.352882514571,NA
134,2004,1,45.59,-84.72,"45.59 -84.72",3845,214,"Temperate","Natural","Deciduous Forest","Deciduous",5.5,817,"IRGA","Extraction","Aggrading",782,"45.59_-84.72","None",3.37,680,45.59,NA,"Deciduous Forest",0,NA,NA,NA,-1.70626165323892,-207.352882514571,NA
135,2004,1,45.59,-84.72,"45.59 -84.72",3845,214,"Temperate","Natural","Deciduous Forest","Deciduous",5.5,817,"IRGA","Extraction","Aggrading",782,"45.59_-84.72","None",3.37,680,45.59,NA,"Deciduous Forest",0,NA,NA,NA,-1.70626165323892,-207.352882514571,NA
136,2004,1,45.59,-84.72,"45.59 -84.72",3845,214,"Temperate","Natural","Deciduous Forest","Deciduous",5.5,817,"IRGA","Extraction","Mature",1090,"45.59_-84.72","None",3.37,680,45.59,NA,"Deciduous Forest",0,NA,NA,NA,-1.70626165323892,-207.352882514571,NA
137,2004,1,45.59,-84.72,"45.59 -84.72",3845,214,"Temperate","Natural","Deciduous Forest","Deciduous",5.5,817,"IRGA","Extraction","Mature",930,"45.59_-84.72","None",3.37,680,45.59,NA,"Deciduous Forest",0,NA,NA,NA,-1.70626165323892,-207.352882514571,NA
148,2005.5,1,47.58,11.64,"47.58 11.64",4072,910,"Temperate","Natural","Evergreen Forest","Evergreen",6.8,1563,"IRGA","Exclusion","Mature",525,"47.58_11.64","None",3.40272727272727,1255.83333333333,47.58,123.2,"Evergreen Forest",0,6.08451232910159,4.96407091011398,2006,-1.67353438051165,368.480450818759,-6.03893117002045
473,1996,1,46.58,-112.03,"46.58 -112.03",1762,1394,"Temperate","Managed","Evergreen Forest","Evergreen",6.7,295,"IRGA","","Aggrading",240,"46.58_-112.03","None",2.832,206.666666666667,46.58,25.9,"Evergreen Forest",0,NA,NA,NA,-2.24426165323893,-680.686215847904,NA
474,1996,1,46.58,-112.03,"46.58 -112.03",1762,1394,"Temperate","Managed","Evergreen Forest","Evergreen",6.7,295,"IRGA","","Aggrading",340,"46.58_-112.03","None",2.832,206.666666666667,46.58,25.9,"Evergreen Forest",0,NA,NA,NA,-2.24426165323893,-680.686215847904,NA
475,1996,1,46.58,-112.03,"46.58 -112.03",1762,1394,"Temperate","Managed","Evergreen Forest","Evergreen",6.7,295,"IRGA","","Aggrading",530,"46.58_-112.03","None",2.832,206.666666666667,46.58,25.9,"Evergreen Forest",0,NA,NA,NA,-2.24426165323893,-680.686215847904,NA
476,1996,1,46.58,-112.03,"46.58 -112.03",1762,1394,"Temperate","Managed","Evergreen Forest","Evergreen",6.7,295,"IRGA","","Aggrading",560,"46.58_-112.03","None",2.832,206.666666666667,46.58,25.9,"Evergreen Forest",0,NA,NA,NA,-2.24426165323893,-680.686215847904,NA
523,2000.5,1.5,55.17,-2.05,"55.17 -2.05",3211,300,"Temperate","Managed","Evergreen Forest","Evergreen",6.97797101449275,704.04,"Gas Chromatography","","Aggrading",230,"55.17_-2.05","None",6.97797101449275,704.04,55.17,149.6,"Evergreen Forest",0,NA,NA,NA,1.90170936125383,-183.312882514571,NA
524,2000.5,1.5,55.17,-2.05,"55.17 -2.05",3211,300,"Temperate","Managed","Evergreen Forest","Evergreen",6.97797101449275,704.04,"Gas Chromatography","","Aggrading",220,"55.17_-2.05","None",6.97797101449275,704.04,55.17,149.6,"Evergreen Forest",0,NA,NA,NA,1.90170936125383,-183.312882514571,NA
525,2000.5,1.5,55.17,-2.05,"55.17 -2.05",3211,300,"Temperate","Managed","Evergreen Forest","Evergreen",6.97797101449275,704.04,"Gas Chromatography","","Aggrading",540,"55.17_-2.05","None",6.97797101449275,704.04,55.17,149.6,"Evergreen Forest",0,NA,NA,NA,1.90170936125383,-183.312882514571,NA
526,2000.5,1.5,55.17,-2.05,"55.17 -2.05",3211,300,"Temperate","Managed","Evergreen Forest","Evergreen",6.97797101449275,704.04,"Gas Chromatography","","Mature",500,"55.17_-2.05","None",6.97797101449275,704.04,55.17,149.6,"Evergreen Forest",0,NA,NA,NA,1.90170936125383,-183.312882514571,NA
527,2000.5,1.5,55.17,-2.05,"55.17 -2.05",3211,300,"Temperate","Natural","Grassland","Deciduous",6.97797101449275,704.04,"Gas Chromatography","","Mature",1420,"55.17_-2.05","None",6.97797101449275,704.04,55.17,149.6,"Grassland",0,NA,NA,NA,1.90170936125383,-183.312882514571,NA
587,1999.5,1,9.87,-67.07,"-9.87 -67.07",2756,181,"Tropical","Managed","Grassland","Evergreen",26,1940,"IRGA","","Aggrading",1840,"-9.87_-67.07","None",7.99333333333333,NA,-9.87,376,"Grassland",0,NA,NA,NA,2.91707168009441,NA,NA
588,1999.5,1,9.88,-67.07,"-9.88 -67.07",2756,178,"Tropical","Natural","Evergreen Forest","Evergreen",26,1940,"IRGA","","Aggrading",1830,"-9.88_-67.07","None",7.99333333333333,NA,-9.88,NA,"Evergreen Forest",0,NA,NA,NA,2.91707168009441,NA,NA
589,1999.5,1,9.88,-67.07,"-9.88 -67.07",2756,178,"Tropical","Natural","Evergreen Forest","Evergreen",26,1940,"IRGA","","Aggrading",1540,"-9.88_-67.07","None",7.99333333333333,NA,-9.88,NA,"Evergreen Forest",1,NA,NA,NA,2.91707168009441,NA,NA
590,1999.5,1,9.88,-67.07,"-9.88 -67.07",2756,178,"Tropical","Natural","Evergreen Forest","Evergreen",26,1940,"IRGA","","Aggrading",1350,"-9.88_-67.07","None",7.99333333333333,NA,-9.88,NA,"Evergreen Forest",0,NA,NA,NA,2.91707168009441,NA,NA
591,1999.5,1,9.88,-67.08,"-9.88 -67.08",2756,183,"Tropical","Natural","Evergreen Forest","Evergreen",26,1940,"IRGA","","Mature",1490,"-9.88_-67.08","None",7.99333333333333,NA,-9.88,NA,"Evergreen Forest",0,NA,NA,NA,2.91707168009441,NA,NA
608,1996.5,2,41.87,13.63,"41.87 13.63",1800,1550,"Temperate","Natural","Deciduous Forest","Deciduous",7,1100,"IRGA","","Mature",625,"41.87_13.63","None",5.17636363636364,NA,41.87,51.8,"Deciduous Forest",0,9.26442362467452,4.70933116279656,1996,0.100101983124715,NA,-2.85901987444752
609,1996.5,2,44.08,0.08,"44.08 0.08",1800,60,"Temperate","Natural","Evergreen Forest","Evergreen",13.5,900,"IRGA","","Aggrading",1675,"44.08_0.08","None",4.75818181818182,698.5,44.08,77.4,"Evergreen Forest",1,13.5293975830078,3.13955410856221,1996,-0.318079835057105,-188.852882514571,1.40595408388576
623,2002,1,43.03,-89.43,"43.03 -89.43",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1181,"43.03_-89.43","None",3.03666666666667,NA,43.03,39.8,"Grassland",0,NA,NA,NA,-2.03959498657225,NA,NA
624,2002,1,43.03,-89.43,"43.03 -89.43",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1331,"43.03_-89.43","None",3.03666666666667,NA,43.03,39.8,"Grassland",0,NA,NA,NA,-2.03959498657225,NA,NA
625,2003,1,43.03,-89.43,"43.03 -89.43",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1174,"43.03_-89.43","None",3.03666666666667,NA,43.03,39.8,"Grassland",0,NA,NA,NA,-2.03959498657225,NA,NA
626,2003,1,43.03,-89.43,"43.03 -89.43",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1387,"43.03_-89.43","None",3.03666666666667,NA,43.03,39.8,"Grassland",0,NA,NA,NA,-2.03959498657225,NA,NA
627,2004,1,43.03,-89.43,"43.03 -89.43",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1386,"43.03_-89.43","None",3.03666666666667,NA,43.03,39.8,"Grassland",0,NA,NA,NA,-2.03959498657225,NA,NA
628,2004,1,43.03,-89.43,"43.03 -89.43",3429,264,"Temperate","Natural","Grassland","Deciduous",7.5,928,"IRGA","","Mature",1510,"43.03_-89.43","None",3.03666666666667,NA,43.03,39.8,"Grassland",0,NA,NA,NA,-2.03959498657225,NA,NA
674,1999,1,45.55,-84.85,"45.55 -84.85",2541,285,"Temperate","Natural","Deciduous Forest","Deciduous",6.1,828,"IRGA","","Mature",1071,"45.55_-84.85","None",11.2192857142857,696.958333333333,45.55,79.5,"Deciduous Forest",0,NA,NA,NA,6.14302406104678,-190.394549181238,NA
676,1999,1,43.67,-86.15,"43.67 -86.15",2541,257,"Temperate","Natural","Deciduous Forest","Deciduous",7.6,793,"IRGA","","Mature",1071,"43.67_-86.15","None",3.5175,786.416666666667,43.67,79.3,"Deciduous Forest",0,NA,NA,NA,-1.55876165323892,-100.936215847904,NA
682,2001,1,45.55,-84.85,"45.55 -84.85",2541,285,"Temperate","Natural","Deciduous Forest","Deciduous",6.1,828,"IRGA","","Mature",1071,"45.55_-84.85","None",11.2192857142857,696.958333333333,45.55,79.5,"Deciduous Forest",0,NA,NA,NA,6.14302406104678,-190.394549181238,NA
684,2001,1,43.67,-86.15,"43.67 -86.15",2541,257,"Temperate","Natural","Deciduous Forest","Deciduous",7.6,793,"IRGA","","Mature",1071,"43.67_-86.15","None",3.5175,786.416666666667,43.67,79.3,"Deciduous Forest",0,NA,NA,NA,-1.55876165323892,-100.936215847904,NA
