"Record_number","Study_midyear","YearsOfData","Latitude","Longitude","Site2","Study_number","Elevation","Biome","Ecosystem_state","Ecosystem_type","Leaf_habit","MAT","MAP","Meas_method","Partition_method","Stage","Rs_annual","Site.match","Manipulation","Mean.Temp.","Mean.Precip.","Latitude2","SOC_stock","Ecosystem_type2","Outlier","soil_temperature","nearest_distance_km","soil_temp_years_used","delta.Mean.Temp.","delta.Mean.Precip.","delta.Mean.soil_temperature"
1,2001.5,1.5,56.63,-99.94,"56.63 -99.94",2534,277,"Boreal","Natural","Evergreen Forest","Evergreen",0.8,450,"IRGA","Exclusion","Aggrading",255,"56.63_-99.94","None",4.043,NA,56.63,51.7,"Evergreen Forest",0,NA,NA,NA,-1.03326165323892,NA,NA
2,2001.5,1.5,56.46,-99.97,"56.46 -99.97",2534,284,"Boreal","Natural","Deciduous Forest","Deciduous",0.8,450,"IRGA","Exclusion","Aggrading",85,"56.46_-99.97","None",4.043,NA,56.46,81.2,"Deciduous Forest",0,NA,NA,NA,-1.03326165323892,NA,NA
3,2001.5,1.5,55.91,-98.98,"55.91 -98.98",2534,284,"Boreal","Natural","Deciduous Forest","Deciduous",0.8,450,"IRGA","Exclusion","Aggrading",425,"55.91_-98.98","None",0.535,303,55.91,40.2,"Deciduous Forest",0,NA,NA,NA,-4.54126165323893,-584.352882514571,NA
4,2001.5,1.5,55.86,-98.48,"55.86 -98.48",2534,265,"Boreal","Natural","Mixed Forest","Mixed",0.8,450,"IRGA","Exclusion","Aggrading",551,"55.86_-98.48","None",0.535,348.375,55.86,61.2,"Mixed Forest",0,NA,NA,NA,-4.54126165323893,-538.977882514571,NA
5,2001.5,1.5,55.92,-98.39,"55.92 -98.39",2534,260,"Boreal","Natural","Evergreen Forest","Evergreen",0.8,450,"IRGA","Exclusion","Aggrading",484,"55.92_-98.39","None",0.535,409.916666666667,55.92,66.8,"Evergreen Forest",0,NA,NA,NA,-4.54126165323893,-477.436215847904,NA
6,2001.5,1.5,55.91,-98.52,"55.91 -98.52",2534,269,"Boreal","Natural","Evergreen Forest","Evergreen",0.8,450,"IRGA","Exclusion","Mature",540,"55.91_-98.52","None",0.535,348.375,55.91,47.2,"Evergreen Forest",0,NA,NA,NA,-4.54126165323893,-538.977882514571,NA
7,2001.5,1.5,55.88,-98.48,"55.88 -98.48",2534,261,"Boreal","Natural","Evergreen Forest","Evergreen",0.8,450,"IRGA","Exclusion","Mature",375,"55.88_-98.48","None",0.535,348.375,55.88,251,"Evergreen Forest",0,NA,NA,NA,-4.54126165323893,-538.977882514571,NA
8,2001.5,1.5,56.63,-99.94,"56.63 -99.94",2534,277,"Boreal","Natural","Evergreen Forest","Evergreen",0.8,450,"IRGA","Exclusion","Aggrading",137,"56.63_-99.94","None",4.043,NA,56.63,51.7,"Evergreen Forest",0,NA,NA,NA,-1.03326165323892,NA,NA
9,2001.5,1.5,56.46,-99.98,"56.46 -99.98",2534,285,"Boreal","Natural","Deciduous Forest","Deciduous",0.8,450,"IRGA","Exclusion","Aggrading",513,"56.46_-99.98","None",4.043,NA,56.46,51.2,"Deciduous Forest",0,NA,NA,NA,-1.03326165323892,NA,NA
10,2001.5,1.5,55.9,-98.98,"55.9 -98.98",2534,252,"Boreal","Natural","Deciduous Forest","Deciduous",0.8,450,"IRGA","Exclusion","Aggrading",337,"55.9_-98.98","None",0.535,303,55.9,54.4,"Deciduous Forest",0,NA,NA,NA,-4.54126165323893,-584.352882514571,NA
