"Record_number","Study_midyear","YearsOfData","Latitude","Longitude","Site_name","Study_number","Elevation","Biome","Ecosystem_state","Ecosystem_type","Leaf_habit","MAT","MAP","Meas_method","Partition_method","Stage","Rs_annual","Rh_annual","Ra_annual","Manipulation","Soil_BD","Soil_CN","Soil_sand","Soil_silt","Soil_clay","Ecosystem_type2","Outlier_rh","Outlier_ra","Mean.Temp.","Mean.Precip.","delta.Mean.Temp.","delta.Mean.Precip."
1,2001.5,1.5,56.63,-99.94,"BOREAS NSA-D1998",2534,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","Exclusion","Aggrading",255,262,-7,"None",NA,NA,NA,NA,NA,"Forest",0,0,-1.36,348.375,-6.6596127066528,-645.166340309468
2,2001.5,1.5,56.46,-99.97,"BOREAS NSA-D1995",2534,NA,"Boreal","Natural","Forest","Deciduous",0.8,450,"IRGA","Exclusion","Aggrading",85,76,9,"None",NA,NA,NA,NA,NA,"Forest",0,0,-1.36,348.375,-6.6596127066528,-645.166340309468
3,2001.5,1.5,55.91,-98.98,"BOREAS NSA-D1989",2534,NA,"Boreal","Natural","Forest","Deciduous",0.8,450,"IRGA","Exclusion","Aggrading",425,285,140,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.579166666666667,348.375,-4.72044603998613,-645.166340309468
4,2001.5,1.5,55.86,-98.48,"BOREAS NSA-D1981",2534,NA,"Boreal","Natural","Forest","Mixed",0.8,450,"IRGA","Exclusion","Aggrading",551,385,166,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.579166666666667,348.375,-4.72044603998613,-645.166340309468
5,2001.5,1.5,55.92,-98.39,"BOREAS NSA-D1964",2534,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","Exclusion","Aggrading",484,378,106,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.579166666666667,400.416666666667,-4.72044603998613,-593.124673642802
6,2001.5,1.5,55.91,-98.52,"BOREAS NSA-D1930",2534,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","Exclusion","Mature",540,394,146,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.579166666666667,348.375,-4.72044603998613,-645.166340309468
7,2001.5,1.5,55.88,-98.48,"BOREAS NSA-D1850; NOBS",2534,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","Exclusion","Mature",375,329,46,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.579166666666667,348.375,-4.72044603998613,-645.166340309468
8,2001.5,1.5,56.63,-99.94,"BOREAS NSA-W1998",2534,NA,"Boreal","Natural","Forest","Evergreen",0.8,450,"IRGA","Exclusion","Aggrading",137,134,3,"None",NA,NA,NA,NA,NA,"Forest",0,0,-1.36,348.375,-6.6596127066528,-645.166340309468
9,2001.5,1.5,56.46,-99.98,"BOREAS NSA-W1995",2534,NA,"Boreal","Natural","Forest","Deciduous",0.8,450,"IRGA","Exclusion","Aggrading",513,498,15,"None",NA,NA,NA,NA,NA,"Forest",0,0,-1.36,348.375,-6.6596127066528,-645.166340309468
10,2001.5,1.5,55.9,-98.98,"BOREAS NSA-W1989",2534,NA,"Boreal","Natural","Forest","Deciduous",0.8,450,"IRGA","Exclusion","Aggrading",337,239,98,"None",NA,NA,NA,NA,NA,"Forest",0,0,0.579166666666667,348.375,-4.72044603998613,-645.166340309468
